Name,G,GS,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,Name-additional
,,,,,,,,,,,,,,-9999
J.T. Realmuto,139,132,0,133,3,0,0,0,0,0,0,0,3,realmjt01
Jake Reed,18,0,18,0,0,0,0,0,0,0,0,0,0,reedja02
Rob Refsnyder,57,35,0,0,0,0,0,0,6,17,28,47,7,refsnro01
Sean Reid-Foley,7,0,7,0,0,0,0,0,0,0,0,0,0,reidfse01
Zach Reks,16,7,0,0,0,0,0,0,13,0,3,15,0,reksza01
Anthony Rendon,47,46,0,0,0,0,47,0,0,0,0,0,0,rendoan01
Hunter Renfroe,125,125,0,0,1,0,0,0,0,0,118,118,7,renfrhu01
Luis Rengifo,127,119,0,0,0,99,39,19,1,0,5,5,0,rengilu01
Denyi Reyes,3,1,3,0,0,0,0,0,0,0,0,0,0,reyesde02
Franmil Reyes,118,112,1,0,0,0,0,0,2,0,13,14,100,reyesfr01
Gerardo Reyes,2,0,2,0,0,0,0,0,0,0,0,0,0,reyesge01
Pablo Reyes,6,3,1,0,0,0,2,3,0,0,0,0,0,reyespa01
Victor Reyes,92,79,0,0,0,0,0,0,19,8,63,83,4,reyesvi01
Bryan Reynolds,145,144,0,0,0,0,0,0,1,127,0,128,18,reynobr01
Matt Reynolds,93,67,2,0,13,36,14,23,3,1,11,15,1,reynoma03
Garrett Richards,32,2,32,0,0,0,0,0,0,0,0,0,0,richaga01
Trevor Richards,62,4,62,0,0,0,0,0,0,0,0,0,0,richatr01
JT Riddle,2,1,0,0,0,0,1,0,0,0,0,0,0,riddljt01
Austin Riley,159,158,0,0,1,0,159,0,0,0,0,0,0,rileyau01
Edwin Rios,27,20,0,0,4,0,4,0,0,0,0,0,20,riosed01
Alfonso Rivas,101,73,0,0,92,0,0,0,2,0,1,3,4,rivasal01
Emmanuel Rivera,102,88,0,0,5,0,86,0,0,0,0,0,8,riverem01
Sebastián Rivero,17,7,0,17,0,0,0,0,0,0,0,0,0,riverse01
Anthony Rizzo,130,124,0,0,120,0,0,0,0,0,0,0,9,rizzoan01
Luis Robert Jr.,98,92,0,0,0,0,0,0,0,91,0,91,4,roberlu01
Ethan Roberts,9,0,9,0,0,0,0,0,0,0,0,0,0,roberet01
David Robertson,58,0,58,0,0,0,0,0,0,0,0,0,0,roberda08
Kramer Robertson,2,0,0,0,0,0,0,1,0,0,0,0,1,roberkr01
Chuckie Robinson,25,20,0,25,0,0,0,0,0,0,0,0,0,robinch04
Hansel Robles,26,0,26,0,0,0,0,0,0,0,0,0,0,robleha01
Victor Robles,132,110,0,0,0,0,0,0,0,128,0,128,2,roblevi01
Brendan Rodgers,137,136,0,0,0,135,0,0,0,0,0,0,2,rodgebr02
Carlos Rodón,31,31,31,0,0,0,0,0,0,0,0,0,0,rodonca01
Dereck Rodríguez,2,0,2,0,0,0,0,0,0,0,0,0,0,rodride01
Eduardo Rodriguez,17,17,17,0,0,0,0,0,0,0,0,0,0,rodried05
Elvin Rodriguez,7,5,7,0,0,0,0,0,0,0,0,0,0,rodriel02
Joely Rodríguez,55,0,55,0,0,0,0,0,0,0,0,0,0,rodrijo06
Julio Rodríguez,132,131,0,0,0,0,0,0,0,130,0,130,1,rodriju01
Manuel Rodríguez,14,0,14,0,0,0,0,0,0,0,0,0,0,rodrima01
Yerry Rodríguez,1,0,1,0,0,0,0,0,0,0,0,0,0,rodriye01
Josh Rogers,16,3,16,0,0,0,0,0,0,0,0,0,0,rogerjo01
Taylor Rogers,66,0,66,0,0,0,0,0,0,0,0,0,0,rogerta01
Trevor Rogers,23,23,23,0,0,0,0,0,0,0,0,0,0,rogertr01
Tyler Rogers,68,0,68,0,0,0,0,0,0,0,0,0,0,rogerty01
Jose Rojas,22,14,0,0,0,0,12,0,1,0,6,7,0,rojasjo02
Josh Rojas,125,115,0,0,0,26,90,0,0,0,0,0,5,rojasjo01
Miguel Rojas,140,132,0,0,10,0,0,136,0,0,0,0,0,rojasmi02
Jordan Romano,63,0,63,0,0,0,0,0,0,0,0,0,0,romanjo03
Jhon Romero,4,0,4,0,0,0,0,0,0,0,0,0,0,romerjh01
JoJo Romero,17,0,17,0,0,0,0,0,0,0,0,0,0,romerjo01
Tommy Romero,4,2,4,0,0,0,0,0,0,0,0,0,0,romerto01
Austin Romine,51,39,0,50,0,0,0,0,0,0,0,0,1,rominau01
Sergio Romo,23,0,23,0,0,0,0,0,0,0,0,0,0,romose01
Angel Rondón,1,0,1,0,0,0,0,0,0,0,0,0,0,rondoan01
Brent Rooker,16,9,0,0,0,0,0,0,8,0,1,8,5,rookebr01
Amed Rosario,153,151,0,0,0,0,0,140,6,0,0,6,6,rosaram01
Eddie Rosario,80,67,0,0,0,0,0,0,54,0,15,67,9,rosared01
Eguy Rosario,7,0,0,0,0,0,4,2,0,0,0,0,1,rosareg01
Kenny Rosenberg,3,1,3,0,0,0,0,0,0,0,0,0,0,rosenke01
Bubby Rossman,1,0,1,0,0,0,0,0,0,0,0,0,0,rossmbu01
Michael Rucker,41,0,41,0,0,0,0,0,0,0,0,0,0,ruckemi01
